B cell	Erythrocytes	Granulocytes	Megakaryocytes	Monocytes	NK cell	Non hematopoietic	T cell
ENSG00000007312	9379.23076923077	973.9	31	318.833333333333	547.827586206897	794.5	38.875	337.142857142857
ENSG00000012124	15319.0048717949	912.4	27.8928571428571	51.3333333333333	825.208620689655	12.5	4.875	3.38095238095238
ENSG00000068078	1288.02564102564	154.8	18.6071428571429	55.5	3.79310344827586	0.25	58.5	1.04761904761905
ENSG00000076826	104.897435897436	3.7	5.67857142857143	1.16666666666667	5.27586206896552	3.5	5.125	10.5238095238095
ENSG00000078900	236.529230769231	14.043	46.7142857142857	8.945	10.0372413793103	11	3.125	6.76190476190476
ENSG00000081052	1349.94871794872	23.2	1.53571428571429	10.3333333333333	2.01724137931034	66	50	13.8095238095238
ENSG00000082293	2774.4358974359	659.3	4.53571428571429	126.833333333333	4.01724137931035	2	1.75	7.90476190476191
ENSG00000083454	5485.53333333333	1118.865	38.2792857142857	8.5	59.4031034482759	437.59	101.43	374.665238095238
ENSG00000088340	2314.82666666667	6.7	16.1428571428571	34.6666666666667	10.0862068965517	1.25	126.625	12.047619047619
ENSG00000095585	2921.68230769231	120.5	5.46428571428571	37.6666666666667	302.885344827586	3.5	0.75	4.52380952380952
ENSG00000099958	10967.358974359	386.3	54.4285714285714	219	50.4310344827586	13.75	35.875	24.0952380952381
ENSG00000105369	22920.7179487179	3125.1	25.3928571428571	22.6666666666667	49.948275862069	50.5	4.875	89.4285714285714
ENSG00000110777	10753.8964102564	211.5	7.17857142857143	12	9.63793103448276	1.5	0.25	26.047619047619
ENSG00000112812	178.923076923077	1.3	0.214285714285714	8.5	0.603448275862069	0.5	0.125	7.85714285714286
ENSG00000115884	9427.38461538462	3.2	6.96428571428571	3.16666666666667	496.5	0.75	727.625	2.47619047619048
ENSG00000116985	1146.52846153846	31.168	28.5564285714286	105.066666666667	70.0989655172414	96.0475	5.60125	36.1071428571429
ENSG00000117322	6586.35897435897	167.2	10.1428571428571	1.66666666666667	31.8793103448276	1.5	0.25	321.904761904762
ENSG00000118432	522.692307692308	16.1	91.4642857142857	0.5	8.18965517241379	0.25	1.375	0.19047619047619
ENSG00000124557	164.128205128205	6.2	2.10714285714286	20.5	0.517241379310345	0.5	0.25	0.0952380952380952
ENSG00000124772	4476.07692307692	76.5	312	227.5	15.7241379310345	4.5	621	16.7142857142857
ENSG00000127074	2919.79487179487	86.5	3.39285714285714	25.3333333333333	66.2586206896552	14.5	0.375	5.14285714285714
ENSG00000128218	1821.53846153846	62.6	2.85714285714286	3.5	2.06896551724138	0.25	0.75	0.666666666666667
ENSG00000128886	1598.47743589744	284.215	9.5	39.5316666666667	87.5020689655172	6.2575	73.95875	28.6780952380952
ENSG00000132185	5835.51282051282	344.9	8.28571428571429	2.33333333333333	101.410689655172	6.75	37.25	0.857142857142857
ENSG00000132465	114691.023589744	512.7	157.178571428571	203.666666666667	587.501034482759	4	6.75	698.142857142857
ENSG00000132958	29.5179487179487	2.5	0.142857142857143	1.66666666666667	0.762586206896552	0.5	0.5	2.42857142857143
ENSG00000135144	2382.5641025641	101.4	6.32142857142857	2.33333333333333	12.3448275862069	41	5.125	169.666666666667
ENSG00000136573	4659.25461538462	740.8	8.96428571428571	1.83333333333333	9.74137931034483	11.5	1.125	135.571428571429
ENSG00000137101	2412.77205128205	135.647	14.75	42.0333333333333	128.376551724138	505.75	12.125	61
ENSG00000141738	35.5384615384615	1.2	0.107142857142857	1.33333333333333	0.206896551724138	3.25	6.5	1.71428571428571
ENSG00000142675	349.076923076923	16.8	4.89285714285714	5.66666666666667	4.87931034482759	8.5	3.375	52.1904761904762
ENSG00000143297	9683.1558974359	238.1	11.5357142857143	3.5	8.50465517241379	6.5	0.125	7.14285714285714
ENSG00000143603	2218.48717948718	24.3	1.85714285714286	123.666666666667	6	0.25	543	5.23809523809524
ENSG00000144045	180.153846153846	9.2	3.42857142857143	21.5	5.74137931034483	3.5	4.375	2.95238095238095
ENSG00000144218	5329.91256410256	973.8	29.8571428571429	130.25	175.069310344828	31	138.125	502.857142857143
ENSG00000147573	68.7435897435897	0.3	0.285714285714286	3.33333333333333	6.79310344827586	0.25	0.875	0.19047619047619
ENSG00000148935	336.257948717949	19.4	3.39285714285714	69.8333333333333	3.3448275862069	9.75	2.5	15.3333333333333
ENSG00000152192	195.057948717949	21.549	2.10714285714286	8.22666666666667	4.5151724137931	3.25	31	3.76190476190476
ENSG00000153093	302.986153846154	5.2	40.4285714285714	31.1666666666667	2.6551724137931	2.25	1.125	0.666666666666667
ENSG00000158482	740.846923076923	144.243	13.0932142857143	21.2816666666667	26.5446551724138	15.1125	18.95875	5.43619047619048
ENSG00000159958	6786.30641025641	1079.3	19.6785714285714	42.3333333333333	13.3074137931034	17.5	13.375	172.904761904762
ENSG00000160683	4000.18846153846	745.526	55.9285714285714	19.235	171.844482758621	16.75	0.625	225.047619047619
ENSG00000162552	65.6410256410256	0.9	5.03571428571429	5.16666666666667	1.03448275862069	2	3.25	1.66666666666667
ENSG00000162998	4959.02564102564	4.5	1.32142857142857	71.5	0.172413793103448	0.25	20.125	0.19047619047619
ENSG00000163568	1010.51282051282	7	266.035714285714	6	86.6034482758621	2.25	0.5	55
ENSG00000164362	120.102564102564	24.6	0.892857142857143	3.5	0.155172413793103	0.25	0.5	10.9047619047619
ENSG00000165810	220.666666666667	4.6	1.92857142857143	2.33333333333333	0.758620689655172	0.75	2.5	0.380952380952381
ENSG00000166897	310.273846153846	3.4	3.85714285714286	21.3333333333333	1.13793103448276	9.25	59.625	10.8095238095238
ENSG00000167306	372.623846153846	16.988	5.25	1	11.181724137931	1.5	75.18625	3.66952380952381
ENSG00000167483	5378.72641025641	1479.1	80.4642857142857	58.6666666666667	58.1305172413793	22.5	20.375	29.1428571428571
ENSG00000169031	1126.70717948718	9.2	1.25	23.3333333333333	0.931034482758621	12.75	9.125	9.95238095238095
ENSG00000169071	267.128205128205	28.8	2.03571428571429	2.83333333333333	14	0.75	8	18.8571428571429
ENSG00000169427	35.2307692307692	1.6	0.285714285714286	0.833333333333333	1.6551724137931	2.75	0.125	1.76190476190476
ENSG00000169507	174.205128205128	14.2	0.678571428571429	6.66666666666667	0.241379310344828	0.5	0.5	0.19047619047619
ENSG00000169962	626.846153846154	15.3	37.2857142857143	10.3333333333333	9	42.75	8.875	48.5238095238095
