Adipose Tissue	Adrenal Gland	B cell	Bladder	Brain	Breast	Cervix Uteri	COAD	Colon	Erythrocytes	Esophagus	Fallopian Tube	Granulocytes	Heart	Kidney	Liver	Lung	Megakaryocytes	Monocytes	Muscle	Nerve	NK cell	Ovary	Pancreas	Pituitary	Prostate	READ	Salivary Gland	Skin	Small Intestine	Spleen	STAD	Stomach	T cell	Testis	Thyroid	Uterus	Vagina
ENSG00000148795	1.06682507475083	7642.49651162791	0.00871794871794872	1.49111904761905	1.23632437547313	1.27556267973856	1.91581578947368	0.192459359721204	0.818228408215661	0.066	1.13969635986159	2.89311111111111	0.00214285714285714	0.607848966318235	8.42339101123595	3.58721017699115	1.2220791349481	0.38	0.0148275862068966	1.68192826899128	3.19928271405493	0	27.4094250555556	0.912025606707317	1.4358183745583	1.36373657142857	0.321105450634215	3.67444654320988	1.00799456882255	1.01753973262032	1.44263647302905	8.17800646639384	1.42718440111421	0	26.2582326869806	7.09142266462481	2.18544211267606	1.45180519230769
ENSG00000160882	0.440328337209302	5929.51937984496	0.00179487179487179	0.576724761904762	1.26685165404996	0.363028958605664	0.61406947368421	0.018752659659288	0.38371583055199	0	0.576377458823529	0.6318	0	0.315408767711963	0.93464393258427	0.44893996460177	0.51874039100346	0	0.00103448275862069	0.22051200498132	0.588959352180937	0	0.806303722222222	0.380292652439024	1.20280561837456	0.874727604081633	0.00798330781717656	2.9567392345679	0.417727098396904	0.473998363636364	0.67831677593361	0.0211021556128552	0.615998225626741	0	6.7436	0.70604330474732	1.02972683098592	0.561675493589744
ENSG00000179142	0.019013469269103	246.442968992248	0.000256410256410256	0.0261780952380952	0.045247123012869	0.0154329302832244	0.0307131578947368	0.00655567779326439	0.0187757419768935	0	0.0280653356401384	0.0173066666666667	0	0.0151175284552846	0.0220236853932584	0.045361610619469	0.0266071020761246	0	0	0.0105343835616438	0.0200371777059774	0	0.0366230555555556	0.0159395609756098	0.0255667137809187	0.0260522040816327	0.00166886252586367	0.238828185185185	0.0177237484798231	0.0147154064171123	0.0350510165975104	0.0181308563686556	0.0213205626740947	0	0.208823711911357	0.0374583552833078	0.0707997887323944	0.0243987628205128
ENSG00000185231	0.00541196096345515	74.3066771317829	0.00179487179487179	0.0187447619047619	0.00932949091597275	0.00510745969498911	0.0129152631578947	0.0184704008833372	0.00767044672657253	0.007	0.0165541058823529	0.0111488888888889	0	0.00815473635307782	0.0146190786516854	0.00916088495575221	0.0147836868512111	0.01	0.000172413793103448	0.00389751307596513	0.00747303392568659	0	0.0159296277777778	0.00660090243902439	1.82008886925795	0.0453755836734694	0.0213569506959843	0.0688331790123457	0.0115689198452184	0.011338614973262	0.00784223236514523	0.062597536807891	0.0142891894150418	0	0.636064072022161	0.012046212863706	0.0181861267605634	0.0103747820512821
ENSG00000203859	0.287400860465116	2203.22887596899	0.0041025641025641	0.367300952380952	0.245859639288418	0.276659607843137	0.386092631578947	0.669063492644353	4.04025720154044	0.012	0.245820110034602	0.576022222222222	0	0.1784385029036	0.76334808988764	0.541645619469027	0.209216384083045	0.025	0.0163793103448276	0.0939507384806974	0.50497450726979	0	1.69530044444444	0.229701112804878	0.285708197879859	0.381011142857143	0.170415991592193	1.19546518518519	0.263328824765064	39.3403601069519	0.339718008298755	0.473864345558807	0.331327715877437	0.00142857142857143	1.40521969529086	0.360334777947933	0.539991338028169	0.378321025641026
ENSG00000231852	1.45995125415282	1893.37286821705	0.166666666666667	2.90108095238095	1.28145465556397	2.11005224400871	2.23700526315789	0.0852192378762353	2.43114394094994	0.016	1.89176885121107	4.04111111111111	0.0546428571428571	1.19016660511034	4.31126292134831	28.1185309734513	1.03403219723183	0.08	0.0241379310344828	0.163701702366127	3.38982245557351	0.01	6.94735277777778	0.437209725609756	3.09553074204947	2.88548571428571	0.0794837872850429	4.83785944444444	0.508803676064124	1.4338671657754	6.84211576763485	0.245094913440707	0.748037994428969	0.0214285714285714	1.38218617728532	4.22276767228178	3.01196971830986	0.933847371794872
ENSG00000207830	0	0	513.764102564103	0	0	0	0	0.64205952466051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.551851270464958	0	0	0	0	0.152244900829536	0	0	0	0	0	0
ENSG00000207833	0	0	208.805897435897	0	0	0	0	0.333649330897511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.638261453550059	0	0	0	0	0.201709862704201	0	0	0	0	0	0
ENSG00000207834	0	0	674.805641025641	0	0	0	0	4.10911685317739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30609870308735	0	0	0	0	2.84231150408767	0	0	0	0	0	0
ENSG00000207835	0	0	100.009230769231	0	0	0	0	0.317755726880393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414033644261592	0	0	0	0	0.173591245569076	0	0	0	0	0	0
