B cell	Colon	Erythrocytes	Granulocytes	Megakaryocytes	Monocytes	NK cell	Stomach	T cell
ENSG00000100721	57.6128205128205	0.569872204107831	2.423	0.158214285714286	0.21	0.505344827586207	0.0175	0.0927281364902507	0.0152380952380952
ENSG00000107447	9.34666666666667	0.00693872913992298	0.25	0.0489285714285714	0.236666666666667	0.0418965517241379	0	0.00639044568245125	0.050952380952381
ENSG00000111291	26.9151282051282	0.766667586649551	0.178	0.00178571428571429	0.893333333333333	0.0237931034482759	0	1.06341467966574	0.0333333333333333
ENSG00000117322	26.9066666666667	0.686380807445443	0.322	0.0257142857142857	0.015	0.0746551724137931	0	0.245683309192201	0.611428571428571
ENSG00000127074	28.5569230769231	0.457919662387677	0.559	0.0157142857142857	0.166666666666667	0.849655172413793	0.0275	0.450368969359331	0.0142857142857143
ENSG00000128218	54.8882051282051	2.42865408215661	0.876	0.0535714285714286	0.171666666666667	0.0491379310344828	0.0025	1.03441339832869	0.0133333333333333
ENSG00000132185	55.8779487179487	0.704113065468549	1.178	0.0667857142857143	0.0233333333333333	0.927241379310345	0.015	0.358724467966574	0.00333333333333333
ENSG00000143297	40.0912820512821	1.89171101540436	0.412	0.0292857142857143	0.015	0.0336206896551724	0.0075	1.04378078830084	0.0161904761904762
ENSG00000166603	5.78692307692308	0.059814082156611	0.001	0	0	0.000344827586206897	0	0.0880208635097493	0
ENSG00000170054	9.39974358974359	0.044501512195122	0.002	0	0	0.0231034482758621	0	0.0106986768802228	0
ENSG00000170476	637.3	27.0174032092426	4.132	0.282857142857143	0.23	1.62068965517241	0.15	18.6102168245125	0.515238095238095
ENSG00000196092	19.5097435897436	0.298924736842105	1.188	0.0432142857142857	0.0883333333333333	0.0589655172413793	0.0075	0.125893490250696	0.0019047619047619
ENSG00000207830	513.764102564103	0	0	0	0	0	0	0	0
ENSG00000207832	9.26487179487179	0	0	0	0	0	0	0	0
ENSG00000207833	208.805897435897	0	0	0	0	0	0	0	0
ENSG00000207834	674.805641025641	0	0	0	0	0	0	0	0
ENSG00000207835	100.009230769231	0	0	0	0	0	0	0	0
ENSG00000207836	240.122051282051	0	0	0	0	0	0	0	0
ENSG00000210127	1525.53205128205	3.7375702182285	0	0	0	6.68672413793103	0	8.8064069637883	0
ENSG00000210135	899.757948717949	3.15612605905006	0	0	0	15.5062068965517	0	4.22806685236769	0
ENSG00000210140	1149.32794871795	6.76022503209243	0	0	0	53.5986206896552	0	7.6420504178273	0
ENSG00000210144	886.931282051282	28.9233044929397	0	0	0	21.8112068965517	0	27.0652799442897	0
ENSG00000211653	4517.96820512821	174.792523350449	0.89	0.262857142857143	0	0.435	0	150.034463036212	0.246666666666667
ENSG00000211662	5246.56358974359	87.9986674197689	0.807	0.216785714285714	0.015	0.215172413793103	0.005	85.0609693871866	0.105714285714286
ENSG00000211670	871.631538461538	18.061657406932	0.203	0.0317857142857143	0	0.0393103448275862	0.215	17.2934925626741	0.256666666666667
ENSG00000211679	16656.0553846154	382.21440296534	12.027	1.7575	0.015	5.02862068965517	0.025	304.588650417827	7.11761904761905
ENSG00000211892	3124.94435897436	28.94666478819	0.005	0.397857142857143	0	0.285	0	18.4126146239554	0.588095238095238
ENSG00000211893	5419.98794871795	111.87466758665	0.05	1.06035714285714	0.00333333333333333	1.11465517241379	0.0025	71.282085264624	2.98238095238095
ENSG00000211896	34180.5925641026	84.9862289088575	0.362	3.97071428571429	0	1.21034482758621	0.0025	195.993270194986	2.00857142857143
ENSG00000211897	5539.46282051282	30.8333114762516	0.058	0.426785714285714	0	0.364310344827586	0.0025	79.7642044568245	0.233333333333333
ENSG00000211898	347.630769230769	3.28059676508344	5.656	0.168928571428571	0.00166666666666667	0.0996551724137931	0.0175	28.2678929805014	0.181904761904762
ENSG00000211947	4762.86179487179	100.550382143774	1.641	0.19	0	0.0524137931034483	0.005	60.9083794707521	0.12
ENSG00000211949	3955.51666666667	232.346297342747	4.894	0.4225	0.0133333333333333	0.180689655172414	0.025	140.06997005571	0.484285714285714
ENSG00000211973	363.532564102564	14.8966744544288	0.451	0.0839285714285714	0	0.0318965517241379	0.01	11.6955206406685	0.0133333333333333
ENSG00000224373	1347.53641025641	93.9301617715019	1.794	0.176428571428571	0	0.0674137931034483	0	48.8400947075209	0.144761904761905
ENSG00000224585	72.1184615384615	1.078573042362	0	0	0	0	0	0.424541504178273	0
