Sample_ID,10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037
Group,GC,GC,GC,GC,GC,GC,GC,GC,GC,GC,GC,GC,GC,GC,GC,GC,GC,GC,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD
Hospital,PKU1,PKU1,PKU1,PKU1,PKU1,PKU1,PKU1,PKU1,PKU2,PKU2,PKU2,PKU2,PKU2,PKU2,PKU2,PKU2,PKU2,PKU2,PKU1,PKU1,PKU1,PKU1,PKU1,PKU1,PKU1,PKU1,PKU1,PKU1,PKU2,PKU2,PKU2,PKU2,PKU2,PKU2,PKU2,PKU2,PKU2
EIF,2.944734573,8.807528178,4.081249873,-1.386475881,4.693217595,2.887558937,4.879173915,2.223604202,2.268496831,10.33861224,1.27408282,7.280906677,4.055051804,,6.782494863,4.354143143,0.959652901,-1.388875961,2.728922526,,2.911685944,5.015386581,2.763894399,2.104457855,0.42535909,2.54834048,-1.538322449,-0.438220342,-3.168675741,,0.255874634,-3.535122554,0.169579506,-1.696739833,0.06185023,4.036722819,-2.078571955
ADAM,,5.439134598,0.303647995,-3.72021993,1.408470472,,-0.483917872,-0.788939158,0.218111674,8.556121826,1.192977905,0.876203537,1.112150192,3.470225016,0.967154185,-0.155965805,-3.831068039,4.701090495,0.51008606,,-1.124212265,2.485157649,0.547597249,-0.304805756,-0.423273722,1.682195663,,-3.657721837,-4.423999151,-3.627219518,-1.366254807,-2.853232066,,,-1.018615723,3.278199514,-4.1773688
EEF,0.519745827,7.162930806,2.130507151,-1.871768951,1.570451101,3.093744278,0.826682409,-1.271178563,0.261079152,7.433277766,1.411546071,4.018170675,0.910576502,0.128705978,1.76601855,,,4.604552587,5.266819636,-0.312307994,1.058440526,5.657836914,2.909008662,4.228860219,2.7390124,3.519674301,1.152369181,-0.351004918,-1.578879674,0.167315165,2.127849579,-1.140843709,-3.112581253,1.868483226,3.512020747,6.092003504,0.645966212
RPS10,-0.671750387,6.360346476,0.420064926,-3.247024536,-0.064258575,0.654287338,2.824210485,,0.983958562,5.061964671,0.687822978,5.288870494,2.838428497,1.336950302,3.872510592,2.951759974,0.635211945,4.795940399,6.413726171,1.507228851,0.711561203,6.816541672,4.761787415,5.348139445,4.259233475,5.531511307,2.506227493,1.124216715,0.722226779,2.350213369,2.467115402,1.445983251,0.870583534,2.209065755,3.739169439,7.608039856,1.961567561
RPS10-NUD,-0.018709183,1.785392125,-1.842287064,-4.966758092,-3.589042664,-1.230462392,-0.722908656,0.515636444,1.685046514,3.858305613,-1.62965711,0.908887863,0.371053696,0.104329427,2.562328339,0.269744237,-4.735889435,2.332171122,3.520280838,-2.072342555,-1.081520081,3.566797892,1.780541738,1.265054067,1.31253624,2.045930862,-1.177282969,-1.27510198,-3.123709997,-1.661616643,4.642999649,2.725012143,,0.090480169,1.863489151,4.794610977,-2.782366435
GAPDH,5.145032247,8.38292249,3.48415947,0.209082286,-0.008514404,2.401411057,2.569867452,2.225367228,2.982994397,9.9227403,4.447198868,7.129600525,6.570688248,5.803970973,6.579856237,5.74051857,3.164829254,9.1501894,5.284662882,0.263039907,1.903725624,6.12863032,3.93475469,4.502415975,3.430646896,5.117083867,0.934904734,2.295218786,0.891185443,2.443698883,2.996906281,2.248978933,0.916387558,2.081371307,4.094667435,6.844583511,0.963791529
H19,3.617557526,4.92456754,1.837915421,-4.858247121,-4.893194834,1.963457743,1.235860189,-1.2665205,0.956011454,4.688591639,2.093720118,6.358329773,6.252110163,3.816144943,7.905199687,1.78669548,-2.083469391,0.027575811,3.00197506,2.036219915,1.927106857,0.869073232,0.148426056,2.538780212,0.018486023,1.63359642,0.256736755,1.527975082,0.657921473,0.888144811,3.129100164,-0.431015015,-0.574472427,,-1.199747086,1.682529449,-2.278757731
IncRNA-GC1,2.416404088,6.09783109,0.045267741,,0.15326341,3.002378464,7.565603256,0.850204468,1.409600576,8.749216398,4.054271062,7.232680003,6.759876251,6.72515742,7.817459106,5.973477364,2.856756846,8.850325584,3.733151754,-1.363136292,-0.617438634,5.359829585,2.9383262,3.129436493,6.009649277,6.673476537,3.790006638,-0.490456899,-1.019996007,0.927827835,1.04467837,-0.416493734,-1.201859792,-0.741173426,1.11746788,6.994543076,-1.383455276
